cell_id,factor_structure,factor_capacity_level,factor_support_intensity,seed,horizon_days,control_capability,withdrawn_capability,supported_capability,supported_vs_control,retained_vs_control,dependency_gap
phase_070,logistics_constrained,0.8,2.0,2026200000,180,0.0,0.858530522,0.865061784,0.865061784,0.858530522,0.006531261999999982
phase_070,logistics_constrained,0.8,2.0,2026200000,360,0.0,0.0,0.0,0.0,0.0,0.0
phase_070,logistics_constrained,0.8,2.0,2026200001,7,0.852596307,0.862961208,0.865163677,0.012567369999999967,0.010364900999999982,0.0022024689999999847
phase_070,logistics_constrained,0.8,2.0,2026200001,30,0.870286315,0.887457815,0.897549561,0.027263246000000074,0.017171500000000006,0.010091746000000068
phase_070,logistics_constrained,0.8,2.0,2026200001,90,0.867692426,0.762886304,0.841223667,-0.02646875900000001,-0.10480612199999995,0.07833736299999994
phase_070,logistics_constrained,0.8,2.0,2026200001,180,0.141004,0.0,0.661177691,0.520173691,-0.141004,0.661177691
phase_070,logistics_constrained,0.8,2.0,2026200001,360,0.0,0.0,0.671294508,0.671294508,0.0,0.671294508
phase_070,logistics_constrained,0.8,2.0,2026200002,7,0.904271273,0.834741703,0.860300841,-0.04397043199999995,-0.06952957000000004,0.025559138000000092
phase_070,logistics_constrained,0.8,2.0,2026200002,30,0.904730112,0.845850148,0.874805713,-0.02992439899999999,-0.05887996399999995,0.02895556499999996
phase_070,logistics_constrained,0.8,2.0,2026200002,90,0.905598815,0.905573544,0.905535603,-6.321199999992366e-05,-2.527099999993787e-05,-3.794099999998579e-05
phase_070,logistics_constrained,0.8,2.0,2026200002,180,0.906845699,0.906835109,0.906866798,2.1099000000024404e-05,-1.0590000000032518e-05,3.168900000005692e-05
phase_070,logistics_constrained,0.8,2.0,2026200002,360,0.909230383,0.909262819,0.909305374,7.499099999996872e-05,3.2436000000024556e-05,4.2554999999944165e-05
phase_070,logistics_constrained,0.8,2.0,2026200003,7,0.849141503,0.902852529,0.902854833,0.053713330000000004,0.053711025999999995,2.3040000000085215e-06
